,0
0,.net
1,.net-2.0
2,.net-3.5
3,actionscript-3
4,ajax
5,algorithm
6,apache
7,apache-flex
8,architecture
9,arrays
10,asp.net
11,asp.net-mvc
12,bash
13,browser
14,c
15,c#
16,c++
17,caching
18,cocoa
19,cocoa-touch
20,coding-style
21,command-line
22,configuration
23,css
24,data-binding
25,database
26,database-design
27,debugging
28,delphi
29,deployment
30,design-patterns
31,django
32,eclipse
33,email
34,events
35,excel
36,exception
37,file
38,firefox
39,flash
40,generics
41,html
42,http
43,ide
44,iis
45,image
46,installation
47,internet-explorer
48,iphone
49,java
50,javascript
51,jquery
52,language-agnostic
53,linq
54,linq-to-sql
55,linux
56,logging
57,macos
58,mfc
59,ms-access
60,multithreading
61,mysql
62,networking
63,nhibernate
64,objective-c
65,oop
66,optimization
67,oracle
68,parsing
69,performance
70,perl
71,php
72,python
73,reflection
74,regex
75,ruby
76,ruby-on-rails
77,scripting
78,security
79,sharepoint
80,shell
81,silverlight
82,sql
83,sql-server
84,sql-server-2005
85,stored-procedures
86,string
87,svn
88,testing
89,tsql
90,unit-testing
91,unix
92,user-interface
93,validation
94,vb.net
95,vb6
96,vba
97,version-control
98,visual-c++
99,visual-studio
100,visual-studio-2005
101,visual-studio-2008
102,wcf
103,web-applications
104,web-services
105,winapi
106,windows
107,windows-vista
108,winforms
109,wpf
110,xml
